Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:35:24.605,1.02747,1.02732,1.28,6.15
22.04.2013 10:35:25.136,1.02747,1.02734,1.28,2.25
22.04.2013 10:35:25.787,1.02747,1.02734,1.65,2.25
22.04.2013 10:35:26.259,1.02748,1.02733,3.53,1.65
22.04.2013 10:35:26.697,1.02749,1.02735,4.13,2.63
22.04.2013 10:35:27.179,1.02750,1.02738,3.38,1.50
22.04.2013 10:35:27.716,1.02750,1.02739,1.50,2.25
22.04.2013 10:35:27.775,1.02752,1.02739,1.50,2.25
22.04.2013 10:35:28.317,1.02753,1.02739,5.03,1.50
22.04.2013 10:35:28.506,1.02752,1.02739,1.50,2.25
22.04.2013 10:35:29.045,1.02752,1.02739,3.75,1.50
22.04.2013 10:35:29.346,1.02749,1.02738,1.13,3.00
22.04.2013 10:35:29.407,1.02751,1.02738,1.50,2.25
22.04.2013 10:35:29.467,1.02751,1.02738,1.50,3.00
22.04.2013 10:35:29.768,1.02754,1.02741,1.65,1.50
22.04.2013 10:35:30.127,1.02757,1.02745,1.28,1.50
22.04.2013 10:35:30.756,1.02759,1.02745,3.00,2.25
22.04.2013 10:35:31.266,1.02758,1.02745,1.65,3.00
22.04.2013 10:35:31.325,1.02758,1.02745,1.88,2.25
22.04.2013 10:35:31.626,1.02754,1.02742,1.95,2.25
22.04.2013 10:35:31.946,1.02756,1.02742,4.50,3.15
22.04.2013 10:35:32.187,1.02759,1.02745,3.90,1.50
22.04.2013 10:35:32.665,1.02758,1.02745,1.50,2.25
22.04.2013 10:35:32.726,1.02755,1.02743,2.63,1.50
22.04.2013 10:35:32.908,1.02755,1.02745,1.50,1.50
22.04.2013 10:35:33.385,1.02759,1.02744,3.53,1.50
22.04.2013 10:35:33.946,1.02759,1.02746,3.53,1.50
22.04.2013 10:35:34.507,1.02759,1.02746,3.53,1.50
22.04.2013 10:35:39.396,1.02758,1.02744,2.40,2.25
22.04.2013 10:35:39.455,1.02758,1.02744,3.15,2.25
